,Unnamed: 0,season,episode_number,episode_title,author,quote
2462,3043,1,13,The Boobies,Monica,Hello?
37613,45956,8,12,Joey Dates Rachel,Chandler,With the claw?!
26900,33146,6,13,Rachel`s Sister,Joey,"(overhearing them) Oh-ho, and mine!"
42982,52421,9,15,The Mugging,Ross,"(interrupting) Hey, let`s not do this!"
35939,43855,8,4,The Videotape,Joey,(confused) Are we watchin the tape or not?!
31836,38914,7,10,The Huliday Armadillo,Phoebe,Are you sure?
25861,31921,6,9,Ross Got High,Chandler,Sydney Portier? Hehheh.
32111,39230,7,12,They`re Up All Night,Phoebe,Shh! Get me out of here.
5058,6548,2,3,Heckles Dies,Phoebe,"Ok, look, before you even start, I`m not denying evolution, ok, I`m just saying that it`s one of the possibilities."
26547,32724,6,12,The Joke,Joey,"No, thats VH-1. I gotta tell you, the music these kids listen to today ... Its like a lotta noise to me. I dont know"
41109,50044,9,5,Phoebe`s Birthday Dinner,Chandler,"No thanks, Im good."
28029,34444,6,18,Ross Dates A Student,Ross,"What?! No! No! Wait! Youre right, this is stupid. Who cares what people think? I mean, I mean we like each other right? Theres nothing wrong with that. Come on. (They get up and go over to the table where his colleagues are sitting.) Burt? Lydia? Mel? This is Elizabeth."
16625,21271,4,14,Joey`s Dirty Day,Ross,Are you kidding?!
36566,44656,8,7,The Stain,Ross,"No-no, I-I have to see if this apartment became available."
23196,28969,5,21,The Ball,Rachel,I tried! They won`t take her back.
34944,42620,7,23,Chandler And Monica`s Wedding,Chandler,You look beautiful mom. (His dad clears his throat.) You look beautiful too dad. I love you both. (He kisses his dad on the cheek) Im so glad you here. (He kisses his mom.)
40267,49061,9,1,No One Proposes,Rachel,"Yeah! Hi Emma. Hey, why do you think she wont take my breast?"
43321,52817,9,17,The Memorial Service,Rachel,"Oh you know what? When I was a little girl I had a little pink pony named Cotton. Oh I loved her so much, I took her everywhere, I would braid her tail..."
32439,39637,7,13,Rosita Dies,Chandler,I think I should get the chair!
19846,25055,5,6,The Yeti,Ross,Touched. Used. Sat on. Sleep on.
44900,54738,9,23,In Barbados,Ross,"Finally, factoring the profusion of new species recently discovered: Gigantosaurus, Argentinasaurus..."
3762,4929,1,20,The Evil Orthodontist,Rachel,"Okay. Okay, we`ll be here! Hating you! Did you see how he was sweating when he walked out of there? Listen honey, if I`m hogging the ball too much you just jump right in there and take a couple punches because I`m telling you, this feels great."
37494,45834,8,11,Ross`s Step Forward,Rachel,Never happened! Good night!
37857,46204,8,13,Chandler Takes A Bath,Monica,Its a humdinger!
23796,29638,5,23,In Vegas,Joey,"Wait a minute! Why don`t I do what that guy did? I`ll take this $100 and turn it into $5,000! And then I`ll turn that into enough money to get my movie going again!"
40261,49053,9,1,No One Proposes,Joey,(To Ross) Were not peeking? (Follows him.)
36312,44306,8,6,The Halloween Party,Joey,Okay. Im Chandler (makes a growling/gurgling sound at the end and the girls laugh.)
26935,33187,6,13,Rachel`s Sister,Rachel,"Oh yes, its me! Sorry!"
13361,17192,3,22,The Screamer,Joey,"Oh, ahh, go to the window. Im wanna run down to the truck and show you something."
31153,38115,7,7,Ross`s Library Book,Rachel,"Wow. Well, I guess it was Cupid who brought her here."
37560,45900,8,12,Joey Dates Rachel,Ross,"which brings us back, of course, to Greelys theory of dominance. (The bell rings.) Okay, that-thats all for today. Oh, uh does anyone know where the Freeman building is?"
46154,56275,10,5,Rachel`s Sister Babysits,Chandler,I doubt that! Tell her about us last year.
34064,41580,7,20,Rachel`s Big Kiss,Monica,You just carry that around?
22068,27641,5,16,The Cop,Joey,"Yeah. I understand. I understand. (Pause) Man, I wish I saw Phoebe first!"
46340,56522,10,6,Ross`s Grant,Monica,"(faking happiness) Well, I-I-I-I... I don`t know..."
19875,25085,5,6,The Yeti,Ross,"Well, her thought is, and I agree, fresh new furniture, why not a fresh new apartment? Her cousin has this great place to sublet, it`s got a view of the river on one side and Columbia on the other."
46252,56393,10,5,Rachel`s Sister Babysits,Ross,"(pointing at Amy, shouting) No more falafel for you!"
33130,40501,7,16,The Truth About London,Monica,One!
29676,36477,7,1,Monica`s Thunder,Joey,"So youre playing a little Playstation, huh? Thats whack! Playstation is whack! Sup with the whack Playstation, sup?! Huh? Come on, am I 19 or what?!"
21187,26633,5,12,Chandler`s Work Laugh,Phoebe,Are you serious?!
26975,33228,6,14,Chandler Can`t Cry,Ross,"Anyway, if she, if she wasnt in to me, why-why would she ask me out again?"
21499,27007,5,14,Everybody Finds Out,Joey,What? What?
44415,54096,9,21,The Fertility Test,Phoebe,"(through the door, with a Scottish accent) Are you ready for your Scottish massage? Put your face in the hole, lassy."
35858,43769,8,4,The Videotape,Ross,"Five to be lying, six."
17525,22442,4,18,Rachel`s New Dress,Phoebe,"Bye, Gene."
3122,4188,1,17,"The Two Parts, Part II",Monica,"Oh, look, he`s waking up!"
48881,59582,10,16,Rachel`s Going Away Party,Rachel,"Mon... Okay... I`ve gotta... just say what it is I`m gonna say... None of the amazing things that have happened to me in the last ten years, would have happened if it wasn`t for you. No-one has been more like a sister to me..."
2572,3211,1,13,The Boobies,Monica,"Hello, Joey."
38258,46617,8,15,The Birthing Video,Chandler,"Worst porn ever! Worst porn ever! (Chandler starts to press buttons on the remote control, frantically.)"
12745,16415,3,20,The Dullhouse,Phoebe,"So, Im here, ready to play."
30509,37375,7,4,Rachel`s Assistant,Monica,No!
48601,59240,10,15,Estelle Dies,Chandler,I see.
30083,36906,7,3,Phoebe`s Cookies,Rachel,"Yeah, and-and-and by someone, she means Joey."
1366,1649,1,7,The Blackout,Phoebe,"(stops at a door) Oh no, the Mendels, they hate all living things, right?"
32747,40014,7,15,Joey`s New Brain,Rachel,"Oh, well, we can hand it to Gunther and he`ll put it in lost and found."
9685,12628,3,5,Frank Jr.,Chandler,"Eh, y`know what, shes to political, she probably wouldnt let you do it, unless you donated four cans of food first."
17266,22100,4,17,The Free Porn,Ross,Emily! (Runs up.)
10441,13548,3,9,The Football,Monica,"Anyway, Ross and I were always captains, and um, it got kindve competitive and one year, Geller Bowl VI, I accidentally broke Rosss nose."
36466,44529,8,6,The Halloween Party,Ross,Yeah?
33174,40545,7,16,The Truth About London,Phoebe,I know! Robin is so gay!
48253,58799,10,13,Joey Speaks French,Ross,"(half amused) Wait, wait, (looks around a little) You`re mad at me about last night? I was just trying to do the right thing."
1089,1316,1,6,The Butt,Chandler,"Oh God, I can`t believe I`m even considering this... I`m very very aware of my tongue..."
1809,2221,1,10,The Monkey,Chandler,"Nothing for you, you have Paolo. You don`t have to face the horrible pressures of this holiday: desperate scramble to find anything with lips just so you can have someone to kiss when the ball drops!! Man, I`m talking loud!"
28971,35628,6,23,The Ring,Ross,I guess it could.
14540,18736,4,4,The Ballroom Dancing,Monica,Third door on the left.
27407,33735,6,15,"That Could Have Been, Part I & II",Ross,"Yeah? Well, I-I think Bens asleep."
48596,59235,10,15,Estelle Dies,Joey,"Hey! No! Get your France-going-arms away from me. (He walks out, and Rachel follows him)"
43676,53216,9,18,The Lottery,Chandler,"Ah, the `I`m sorry I rejected you` phone call. I`m not used to getting it from guys. (on the phone, getting up from the sofa) Hey, Steve."
22850,28568,5,20,The Ride Along,Rachel,"Okay, you want me to stop at the ATM?"
43709,53254,9,18,The Lottery,Ross,I guess if everybody else is...
43520,53050,9,18,The Lottery,Monica,"Well, it doesn`t really matter ... you`re both wishing for the same thing, right?"
3409,4491,1,19,The Monkey Gets Away,Ross,Really.
2672,3334,1,14,The Candy Hearts,Phoebe,"Ok, and I have the, uh receipt for my dinner with Nokululu Oon Ah Ah."
22451,28100,5,18,Rachel Smokes,Joey,"I just said that so you wouldn`t let Ben do it! Look Ross, if anyone should step aside it should be Ben!"
17897,22864,4,20,The Wedding Dresses,Chandler,"All right buddy, time to roll over. (Rolls him over, and discovers a surprise) (Looking down) No-no! (Covers his eyes) No, no-n-n-n-no!! You are going to a clinic! Youre going to a clinic, and a pyjama store!"
22883,28607,5,20,The Ride Along,Rachel,Oh. Oh! (Takes a slug of tequila.)
15893,20381,4,10,The Girl From Poughkeepsie,Chandler,"Oh, man. Im sorry, Im so-so sorry."
48551,59187,10,14,Princess Consuela,Monica,Oh please! Yesterday on the subway? You couldn`t stop staring at that woman with the big breasts the whole time.
40575,49393,9,2,Emma Cries,Monica,"(stands up angry) Tulsa, Oklahoma!"
33293,40693,7,17,The Cheap Wedding Dress,Rachel,"So, does this (The dress) come in another color or (The store owner walks away.)"
19333,24477,5,3,Hundredth,Ross,Argh!
38181,46534,8,14,The Secret Closet,Rachel,"But Ross, its you and me!"
10286,13362,3,8,The Giant Poking Device,Rachel,"Oh, its just like a bloodbath in here today."
10781,13938,3,10,Rachel Quits,Ross,"Mon, look at yourself. You have cookie on your neck."
42866,52284,9,15,The Mugging,Phoebe,"Oh, I hear divorce bells."
5054,6544,2,3,Heckles Dies,Monica,Did you know I was allergic to shellfish?
48057,58580,10,13,Joey Speaks French,Ross,"Joey, you shouldn`t lie on your résumé."
48131,58657,10,13,Joey Speaks French,Chandler,Great! (to Monica) This baby`d better to be really good.
8816,11627,3,1,The Princess Leia Fantasy,Ross,Guess what?
9514,12427,3,4,The Metaphorical Tunnel,Joey,"But Phoebe, wait! Wait! Phoebe. Phoebe! (catches her in the hallway)"
23140,28901,5,21,The Ball,Monica,"(on phone, faking she`s sick) I-I`m not gonna be able to make it into work today, I don`t feel very good. (Joey makes a high throw and Monica has to catch it way over her head.) (Not sounding sick) Yes!! (Realizes what she just did.) (Sounding sick again) Wow! Uh, for a second there I thought I was really better, but I`m not. (Hangs up and keeps throwing the ball.)"
17163,21964,4,16,The Fake Party,Rachel,You seem to really like her.
24761,30688,6,4,Joey Loses His Insurance,Rachel,And?
9110,11954,3,2,No One`s Ready,Chandler,"(to Phoebe) You know what`s weird. Donald Duck never wore pants. But whenever he`s getting out of the shower, he always put a towel around his waist. I mean, what is that about?"
793,976,1,4,George Stephanopoulos,Monica,"Oh, no..."
18155,23151,4,21,The Invitation,Joey,Ewwwww!
42250,51550,9,10,Christmas In Tulsa,Chandler,"Right. So, I`m sorry..."
9152,11996,3,2,No One`s Ready,Chandler,Oooo-ooh!
17315,22154,4,17,The Free Porn,Chandler,Pregnant Woman Slays Four?
29001,35677,6,23,The Ring,Phoebe,We will give you $10.
38592,46991,8,16,Joey Tells Rachel,Joey,"Actually uh, could you give us a second?"
19293,24425,5,3,Hundredth,Rachel,"Phoebe, no! This is, this is insane."
31972,39062,7,11,All The Cheesecakes,Phoebe,(excited) Yes! Oh no!
18875,23967,5,1,Ross Says Rachel,Joey,Can I ask you something?
23535,29366,5,22,Joey`s Big Break,Rachel,"Wow, y`know if Joey and Chandler walked in right now, we could make a fortune! (Monica is straddling Rachel and holding her arms down. In a rather risqu pose, at least for primetime TV.)"
35300,43156,8,2,The Red Sweater,Chandler,Hey. (He sees that Ross is packing all of the hotel toiletries) Soaps? Shampoos? Are you really taking all this stuff?
39363,47954,8,21,The Cooking Class,Rachel,My due date is in one week!
37792,46139,8,13,Chandler Takes A Bath,Monica,"I told you you were a bath person! Hey, when you get out, maybe I can give you a facial!"
4032,5257,1,22,The Ick Factor,Rachel,A-ha!
31988,39080,7,11,All The Cheesecakes,Chandler,What are you doing tonight?
15672,20127,4,9,They`re Going To Party,Rachel,"Hey, Pheebs, quick question for ya."
13741,17755,3,25,At The Beach,Rachel,That is so cool.
3961,5185,1,22,The Ick Factor,Joey,Exellent dream score.
19207,24319,5,3,Hundredth,Monica,"Well, we-we had to go back because I forget my jacket."
46190,56313,10,5,Rachel`s Sister Babysits,Rachel,"(To Ross) Great, shoot, what are we gonna do?"
28360,34839,6,20,Mac And C.H.E.E.S.E.,Monica,What?
31588,38617,7,9,All The Candy,Ross,Need some help?
16080,20631,4,11,Phoebe`s Uterus,Monica,Its gonna be so great.
4535,5924,1,24,Rachel Finds Out,Monica,"Well, it`s the thought. Hey, doesn`t Ross`s flight get in in a couple hours? At gate 27-B?"
24113,30003,6,1,Vegas,Chandler,"Listen, I gotta talk to you."
15905,20393,4,10,The Girl From Poughkeepsie,Chandler,Have you ever been with a woman?
16911,21618,4,15,All The Rugby,Rachel,"(starts laughing, Ross stares at her) Im sorry. Im sorry. Youre right, you are a tough guy. Youre the toughest palaeontologist I know."
18773,23850,5,1,Ross Says Rachel,Chandler,Okay!
32705,39970,7,15,Joey`s New Brain,Ross,"Okay. Yeah, I guess, I guess I could do that too."
23492,29322,5,22,Joey`s Big Break,Chandler,(entering) Hey!
40506,49321,9,2,Emma Cries,Monica,"Oh my god, I am losing my mind."
41695,50795,9,8,Rachel`s Other Sister,Chandler,I will explain it to her.
36432,44482,8,6,The Halloween Party,Phoebe,Hmm?
17083,21855,4,16,The Fake Party,Joey,"Yeah-yeah, yeah, with that-that uh, plumber girl"
31286,38268,7,8,Chandler Doesn`t Like Dogs,Chandler,What is it doing here?
3804,4981,1,21,The Fake Monica,Monica,This woman`s living my life.
24873,30807,6,4,Joey Loses His Insurance,Joey,(in obvious pain) Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.
23784,29626,5,23,In Vegas,Rachel,"No, I don`t! Ross, I think I`m just a more secure person than you are."
29257,35994,6,24,"The Proposal, Part I & II",Rachel,What were you thinking?!
13459,17327,3,23,Ross`s Thing,Phoebe,(disgusted) Uh.
1906,2358,1,10,The Monkey,Monica,Vividly.
48946,59648,10,16,Rachel`s Going Away Party,Joey,I`m sure he`s not more bummed out than I am.
44360,54027,9,21,The Fertility Test,Phoebe,"Uhu, uhu... and why do you think that is?"
3488,4577,1,19,The Monkey Gets Away,Rachel,"(Tearfully) Ross, I`m doing everything that I can, I`ve got everybody looking for him, and I- (Door buzzer goes and she runs to get it) Oh! Who is it?"
46247,56384,10,5,Rachel`s Sister Babysits,Rachel,Oh yeah? Since when?
47807,58284,10,12,Phoebe`s Wedding,Phoebe,What harpist? My friend Marjorie is playing the steel drums.
35910,43826,8,4,The Videotape,Joey,"Loud and clear! (Mouths, `Youll show me,` and nods.)"
16325,20898,4,12,The Embryos,Monica,"Its only been a couple of hours, so just give it some time."
22955,28697,5,20,The Ride Along,Chandler,You dove in front of Ross! Ross!
36227,44200,8,5,Rachel`s Date,Ross,Uh-huh. What happened?
35440,43302,8,2,The Red Sweater,Rachel,"Oh God Oh, hes in there right now?"
30431,37286,7,4,Rachel`s Assistant,Ross,What you got over there? Tacos?
8428,11128,2,23,The Chicken Pox,Monica,"If I tell you, you`ll think I`m crazy."
14530,18725,4,3,The Cuffs,Rachel,"Oh, yeah! Yeah!"
11124,14339,3,12,All The Jealousy,Rachel,"(running into the living room) Thank you, thank you, thank you, Pheebs."
39654,48295,8,22,Rachel Is Late,Ross,Mmm?
33653,41108,7,18,Joey`s Award,Phoebe,Rach?
31534,38557,7,9,All The Candy,Rachel,"Ugh, I just gotta get the thing back!"
47332,57715,10,10,Chandler Gets Caught,Joey,"Hey, is uhm... is Chandler here?"
32394,39585,7,13,Rosita Dies,Ross,Hey.
4948,6424,2,3,Heckles Dies,Rachel,"All right, bye-bye."
12827,16538,3,20,The Dullhouse,Joey,(to Ross) Hey.
407,505,1,2,The Sonogram At The End,Ross,Helen Geller? I don`t think so.
9003,11839,3,2,No One`s Ready,Ross,Nevermind.
38517,46909,8,16,Joey Tells Rachel,Joey,(getting worried) Bite me?
28161,34597,6,19,Joey`s Fridge,Joey,"And I got custody of the kid, right? Now suppose the kid dies and-and I gotta buy a new kid."
1214,1486,1,6,The Butt,Joey,I got fired.
4851,6298,2,2,The Breast Milk,Phoebe,Not even if you just pretend that it`s milk?
7035,9419,2,16,Joey Moves Out,Monica,Happy birthday dad.
39226,47787,8,20,The Baby Shower,Rachel,What?! It goes ten times a day! What are we feeding this baby?! Indian food?!
24845,30774,6,4,Joey Loses His Insurance,Phoebe,"Ugh, its so exhausting waiting for death. Ohh, by the way, do you think you could(Groans, hacks, and then freezes with her eyes open and her tongue hanging out.)"
6283,8499,2,12,The Superbowl,Chandler,"Yeah, well sure, when he did it, it was funny. When I did it to my boss`s hat... all of the sudden I have this big attitude problem."
11636,15019,3,14,Phoebe`s Ex-Partner,Chandler,"No. No. Actually I forgot, what is the deal with that again?"
32026,39128,7,11,All The Cheesecakes,Joey,"Okay, well my girl from the other night was special. She was a scientist too!"
36030,43946,8,5,Rachel`s Date,Phoebe,Im just saying hi! Now Im gonna go!
44840,54645,9,23,In Barbados,Ross,"I know! It`s like, if you knew, why didn`t you tell me, you know? I mean, call, or leave a note: `Hi, I just dropped by to say your wife`s gay`"
15007,19326,4,6,The Dirty Girl,Phoebe,"Pay the caterer! Look, I`ve had a lot of jobs, okay, and there are some people who just always try to get out of paying. It`s either, you know, `that massage wasn`t long enough, or, `I don`t recognize any of those songs,` or, you know, `these sombreros aren`t big enough. Bad little white girl!`"
39470,48083,8,21,The Cooking Class,Joey,"When you say used, do you mean eat as a pre-cooking snack?"
11207,14443,3,12,All The Jealousy,Chandler,"What, what, what?!"
18356,23370,4,22,The Worst Best Man Ever,Monica,"Oh, shes gonna love that!"
48346,58906,10,14,Princess Consuela,Rachel,Congratulations!
41270,50220,9,5,Phoebe`s Birthday Dinner,Joey,"(to Chandler and Monica) Well, what is going on with you two?"
6010,7935,2,9,Phoebe`s Dad,Chandler,"Ho, ho, ho, holy crap is it hot in here!"
25318,31305,6,6,On The Last Night,Chandler,Cups.
3392,4473,1,18,All The Poker,Monica,"That, you get? That, you get?"
43609,53140,9,18,The Lottery,Phoebe,"(keeping on running and yelling) OOOOOHHHHH! (she stops) Fine, I can`t take it anymore! I`m putting an end to this! (she goes out to the balcony)"
21889,27438,5,15,The Girl Who Hits Joey,Ross,Oh-no. No. No.
10422,13528,3,9,The Football,Phoebe,"Y`know, for once, I am going to sit down and try to watch one of these things. (just as she sits down)."
2308,2859,1,12,The Dozen Lasagnas,Joey,"Fine, you want to get the birds, get the birds!"
4320,5671,1,23,The Birth,Ross,We`re here!
31824,38902,7,10,The Huliday Armadillo,Phoebe,"Oh no! (She runs to see.) (Running back, excitedly) Oh! Wow!!!"
18992,24088,5,2,All The Kissing,Phoebe,"Yeah, so, he had a really funny hatI don`t want to talk about it."
1915,2369,1,10,The Monkey,Ross,"Thank you. (She walks off) C`mon, Marcel, whaddya say you and I do a little mingling? (Marcel runs off) Alright, I`ll, uh... catch up with you later."
45000,54867,9,23,In Barbados,Rachel,"Yeah, sure!"
3426,4508,1,19,The Monkey Gets Away,Joey,I meant female nudity. Alright? I don`t need to see Lou Grant frolicking.
37004,45213,8,9,The Rumor,Rachel,Im sorry. What?
38784,47222,8,17,The Tea Leaves,Phoebe,(looking around) She mustve left.
30907,37831,7,6,The Nap Partners,Rachel,"Okay, uh"
25532,31525,6,7,Phoebe Runs,Monica,We`ll see.
12175,15660,3,17,The Ski Trip,Joey,"(obviously cold) Hey, can you close that window Chandler? My nipples can cut glass over here!"
36221,44194,8,5,Rachel`s Date,Monica,Okay.
10846,14015,3,10,Rachel Quits,Chandler,"Sure, everybody loves a kidder."
20840,26257,5,11,All The Resulutions,Chandler,(To Monica) Happy New Year!
12938,16681,3,21,The Chick And The Duck,Rachel,"Oh, I am, my side still hurts from when you crashed into me yesterday."
17901,22868,4,20,The Wedding Dresses,Monica,Phoebe?
18571,23603,4,23,Ross`s Wedding,Ross,What?! No! No! Thats-thats time-out!
21324,26796,5,13,Joey`s Bag,Ross,Your make-up!
45941,56007,10,4,The Cake,Phoebe,"No, it did not."
16308,20881,4,12,The Embryos,Phoebe,"Well the doctor says it takes a couple days, but my bodys always been a little faster than Western medicine."
8389,11083,2,22,The Two Parties,Joey,"Thanks for coming Mrs. Greene. [grabs her and kisses her to distract her. She goes limp in his arms. Mr. Greene leaves.] Well, ok, you take care."
18533,23563,4,23,Ross`s Wedding,Phoebe,"Great! Yeah, could you bring me the newspaper?"
38866,47328,8,18,In Massapequa,Ross,"Hi Aunt Lisa, Uncle Dan"
25903,31970,6,9,Ross Got High,Monica,Nothing.
19115,24219,5,2,All The Kissing,Monica,"Joey, I`m in!"
8236,10922,2,22,The Two Parties,Ross,Yeah.
45885,55936,10,4,The Cake,Joey,(unconfidently) O K.
41388,50373,9,6,The Male Nanny,Joey,"I know, right? (Chandler has really big eyes, and nods) Wh... Wh... Why are we doing this?"
6206,8391,2,11,The Lesbian Wedding,Rachel,These are from Halloween three years ago.
24,25,1,1,Monica Gets A Roommate,Ross,Thanks.
8872,11686,3,1,The Princess Leia Fantasy,Joey,But what does that gonna do...
5,5,1,1,Monica Gets A Roommate,Monica,"Okay, everybody relax. This is not even a date. It`s just two people going out to dinner and- not having sex."
37748,46095,8,13,Chandler Takes A Bath,Rachel,"Okay fine, what do you have?"
21691,27203,5,14,Everybody Finds Out,Joey,"I like that! (To Phoebe) Oh, okay! Show him your bra! He`s afraid of bras! Can`t work `em! (He swiftly rips open the front of Phoebe`s dress revealing her bra.)"
43395,52897,9,17,The Memorial Service,Monica,"Alright you two, I`m gonna go to the bathroom. Now I don`t want anything going on while I`m gone. Here`s a few things you can discuss: mucus, fungus and the idea of me and Ross doing it."
12323,15831,3,17,The Ski Trip,Chandler,"Y`know what, I can handle it, handles my middle name. Actually its the ah, middle part of my first name."
43302,52798,9,17,The Memorial Service,Monica,This is your cellphone?
28024,34434,6,18,Ross Dates A Student,Ross,What do you want to do now? Huh? You wanna go get a drink?
19325,24468,5,3,Hundredth,Chandler,"(to another female nurse) Hey, how `bout it? You, me, Saturday night?"
1723,2124,1,9,Underdog Gets Away,Rachel,"Yes, you do. When we left, you said, `got the keys.`"
25489,31480,6,7,Phoebe Runs,Ross,"So uh, wha-uh, what do you do?"
16317,20890,4,12,The Embryos,Monica,"All right, look, I hate this as much as you, but if it makes you feel better, its all your fault."
40479,49291,9,2,Emma Cries,Ross,Sure what kind?
48130,58655,10,13,Joey Speaks French,Joey,"Oh, you know what you should do? You should walk all the way at the top of Statue of Liberty."
11016,14209,3,11,Chandler Can`t Remember Which Sister,Joey,"You are so the man! (motions him to come in, and he does) Now look, listen, listen, you got to be cool, cause my Grandma doesnt know about you two yet, and you do not want to tick her off. She was like the sixth person to spit on Mussolini`s hanging body. Yeah."
41471,50473,9,6,The Male Nanny,Joey,Not knowing when to shut up...
40194,48979,9,1,No One Proposes,Joey,"Oh hey but, before you guys do that (To Rachel) I need to talk to you, and Ross, I need to talk to you."
27784,34153,6,17,Unagi,Monica,Who the hell are you?!
26988,33241,6,14,Chandler Can`t Cry,Rachel,"Yeah do it now, call right now."
26562,32739,6,12,The Joke,Phoebe,"Oh, I want to look too! (She runs over and sits down and checks out a picture). Yikes!"
42738,52127,9,14,The Blind Dates,Rachel,"Look, you know what, I`m sorry, but did you really think that this was going well? (To Monica.) What`s up?"
16906,21613,4,15,All The Rugby,Joey,Ross! (Laughs) Theyre gonna kill you!
32067,39173,7,11,All The Cheesecakes,Monica,Am I doing here? Why? Surprised to see me? Ross brought me. How do you like that?!
46442,56660,10,6,Ross`s Grant,Rachel,(jumps at the chance to make that happen) Oh! There`s nothing above your bed!!
20475,25827,5,9,Ross`s Sandwich,Chandler,"Ross, it`s just a sandwich!"
46646,56928,10,7,The Home Study,Ross,"I know. (Rachel bends down to Emma and Ross looks over his shoulder again, afraid)"
34646,42246,7,23,Chandler And Monica`s Wedding,Chandler,Yeah. Yknow I keep thinking that something stupid is gonna come up and Ill go allChandler. But nothing has.
13580,17530,3,24,The Ultimate Fighting Champion,Rachel,"So, come on, what was the big news Pete wanted to tell you Mon?! Or should I say Mrs. Monica Becker?"
49409,60184,10,17,"The Last One, Part I & II",Joey,"Yeah, you didn`t even use the tools for most of it!"
27706,34068,6,17,Unagi,Phoebe,"Now, its you little bunny friend. (She sticks it in Rachels face and they both laugh.)"
15509,19911,4,8,Chandler In A Box,Monica,"No-no-no that was good, it was, that was uh, that was a goood kiss"
31511,38532,7,9,All The Candy,Rachel,Im thinkin no.
8645,11426,2,24,Barry And Mindy`s Wedding,Phoebe,Are you the cutest?
42186,51476,9,10,Christmas In Tulsa,Ross,"What are you doing here, Santa?"
19638,24842,5,5,The Kips,Chandler,"Okay, but let`s do it now though, because Chopper 5 just lost it`s feed! (He grabs their bags and sprints out.)"
41360,50337,9,6,The Male Nanny,Monica,"No, it just remind me of something this guy did today at work. I told you about that funny guy, Geoffrey, right?"
35107,42912,8,1,`I Do`,Monica,Whats the matter?
13638,17606,3,24,The Ultimate Fighting Champion,Phoebe,"Yeah, she was bald, shes not now."
33704,41162,7,19,Ross And Monica`s Cousin,Monica,No! No you should! A lot of major actors do nude scenes! I mean the chance to star in a movie? Come on!
6035,7967,2,10,Russ,Ross,Yeah.
23564,29395,5,22,Joey`s Big Break,Phoebe,"Oh, come on! Yes, remember that time on the frozen lake? We were playing chess, you said I was boring, and then you took off your energy mask and you were Cameron Diaz! (Realizes) Okay, there`s a chance this may have been a dream."
39897,48590,8,23,Rachel Has A Baby,Monica,"So were gonna try? I mean, are we trying?"
41195,50139,9,5,Phoebe`s Birthday Dinner,Chandler,"Look, I cant do this. I cant make luv to you while were fighting this way."
19224,24336,5,3,Hundredth,Chandler,Oh no.
42591,51959,9,14,The Blind Dates,Phoebe,"You know what? Maybe once they start dating, and they see what`s out there, they`ll realise how good they are for each other."
43288,52784,9,17,The Memorial Service,Chandler,"Well, how you died was funny."
30066,36889,7,3,Phoebe`s Cookies,Chandler,No I didnt!
45238,55147,10,1,Joey and Rachel Kiss,Phoebe,"Hey, have you guys seen Monica?"
9433,12334,3,4,The Metaphorical Tunnel,Ross,"Give daddy the Barbi! Ben, give, give me the Barbi. Okay, how `bout, don`t you want to play with the monster truck? (makes a monster truck sound) No. Okay, oh, oh, how about a Dino-soilder? (squawks like a dinosaur)"
33495,40925,7,18,Joey`s Award,Ross,"Mr. Morse I need to talk to you about your mid-term exam, Im afraid I-I had to fail you."
5654,7251,2,6,The Baby On The Bus,Joey,Heads.
1631,2012,1,9,Underdog Gets Away,Chandler,I thought it was $98.50.
36454,44516,8,6,The Halloween Party,Phoebe,"Yeah, you should. (They shake hands.)"
20485,25838,5,9,Ross`s Sandwich,Monica,"Phoebe, you are a bad ass!"
22043,27609,5,16,The Cop,Phoebe,"Ohh, no. (Pause) Oh okay, so you`re a cop which means you can park anywhere, `cause I know that `cause I`m a cop too. So, all right, keep up the good work. 10-4. (Tries to leave.)"
45521,55509,10,2,Ross Is Fine,Phoebe,"Well, alright, that`s fine. What about Leslie?"
31875,38955,7,11,All The Cheesecakes,Phoebe,Okay. (Joey exits.)
17380,22228,4,17,The Free Porn,Ross,"(yelling, thinking Emily can hear him through the answering machine all the way to New York.) I love you too! Im, Im gonna call you right now from the phone booth! (Realises) You cant hear me. (Goes to make his call.)"
32821,40105,7,15,Joey`s New Brain,Rachel,You do know that I will be here when he comes over.
32711,39976,7,15,Joey`s New Brain,Joey,"(entering, excited) Hey!"
7957,10542,2,20,uld Yeller Dies,Chandler,Kick save and... denied.
28658,35201,6,21,Ross Meets Elizabeth`s Dad,Rachel,"Well, yknow he lost his keys so he was looking for them"
38188,46541,8,14,The Secret Closet,Ross,Really?
26114,32221,6,10,The Routine,Ross,It was a dry day.
12355,15863,3,17,The Ski Trip,Monica,"All right, well call you when we get back."
13130,16886,3,21,The Chick And The Duck,Phoebe,No.
20995,26421,5,11,All The Resulutions,Ross,Look at me! (Chandler squeaks in an attempt not to make fun of him.)
34289,41813,7,21,The Vows,Chandler,"Oh, you`re-you`re going?"
35644,43538,8,3,Rachel Tells...,Ross,What? What? What?!! Well they should put that on the box!!!
3823,5000,1,21,The Fake Monica,Chandler,Might wanna try Joseph.
32813,40097,7,15,Joey`s New Brain,Rachel,Phoebe!
4969,6448,2,3,Heckles Dies,Phoebe,"Yeah, I just don`t buy it."
